Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,75860,78848
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,140812,140812
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,162445,162445
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,68411,68411
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Female,77771,77771
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EWS,Male,54986,56266
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Male,56552,56552
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Female,84526,84526
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Male,141955,141955
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Male,28324,28324
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,38720,38720
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,64554,64554
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female,123042,123042
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Male,236932,244537
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,58586,62266
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,114031,114031
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,67905,67905
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,67687,68760
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,114276,114276
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Male,249551,251137
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,87278,93522
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Female,115673,137962
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Male,96205,98685
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,93543,96736
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,163532,163532
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female,233597,233597
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Male,39596,40953
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Female,52015,52015
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Male,43541,43541
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Male,46594,47775
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,101714,101714
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Male,66148,66148
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Female,94228,94228
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EWS,Male,66287,76655
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Male,73145,74160
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Female,104354,104354
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Male,157157,157157
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Female,231060,231060
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Male,183628,189188
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female,265605,265605
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Male,53842,56981
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Female,73295,73295
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Male,58021,60729
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,60141,60689
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Female,103056,103056
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Male,260955,281793
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Female,342721,407951
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",GEN,Male,69565,74449
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",GEN,Female,94428,94428
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",EWS,Male,76488,80891
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OBC,Male,74746,76881
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OBC,Female,134195,134195
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",SC,Male,162932,168932
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female,360860,389945
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,76786,85107
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,110729,127763
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,85559,92835
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,86285,89325
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,148519,161487
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",SC,Female,17483,17483
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",GEN,Male,1713,2393
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",GEN,Female,1685,1685
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",EWS,Male,29605,39041
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OBC,Male,3822,4903
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OBC,Female,3111,3111
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",SC,Male,13442,13442
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",SC,Female,18324,18324
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,57023,60345
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Female,80525,84948
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Male,65483,70385
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female,100058,100058
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,64486,67929
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,101814,105470
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,132994,132994
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Male,14638,14638
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Female,21444,21444
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Male,21319,21654
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Male,70929,70929
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Male,18470,18470
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC,Male,26687,26687
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Male,74003,74003
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Male,18309,20012
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Male,21162,21162
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC,Male,27324,27324
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",GEN,Male,32498,33798
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",GEN,Female,46706,46706
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Male,38423,39017
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC,Male,40194,41983
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC,Female,58812,60604
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Male,106567,106567
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Male,140044,140044
National Institute of Technology Patna,"Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Female,60732,60732
National Institute of Technology Patna,"Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Male,43956,43956
National Institute of Technology Patna,"Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC,Female,74385,74385
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Male,21090,22270
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Male,23366,23704
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female,44301,44301
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,27400,28060
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Female,40227,42908
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Male,88784,88784
National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Male,27489,27489
National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Male,41492,41492
National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC,Male,33548,33548
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Male,278226,278226
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Male,75922,75922
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Female,111936,111936
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Male,77411,77411
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC,Male,79375,83128
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,44930,47132
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,61510,61510
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,49680,49746
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,55852,57219
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,86735,87651
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Male,131522,133423
National Institute of Technology Patna,"Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Male,50734,51262
National Institute of Technology Patna,"Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",GEN,Female,73169,73169
National Institute of Technology Patna,"Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC,Male,58386,58386
National Institute of Technology Patna,"Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Male,139972,139972
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Male,73091,73091
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female,124680,124680
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Male,191553,191553
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,66412,72619
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Female,95720,97036
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Male,73431,77933
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,72825,74086
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,102356,102356
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,141379,141379
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Male,191725,191725
National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Male,88282,88282
National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Female,36894,36894
National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,72103,72103
National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Male,102347,102347
National Institute of Technology Puducherry,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Male,44522,44522
National Institute of Technology Puducherry,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Female,51546,52045
National Institute of Technology Puducherry,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Male,49620,49620
National Institute of Technology Puducherry,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Male,116026,116026
National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Male,30056,30056
National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female,41904,41904
National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,34097,34097
National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Female,52728,52728
National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Male,125475,125475
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,61311,62945
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female,94547,94547
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,55358,59109
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,88279,88279
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,63716,63889
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,61436,63966
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,94253,94253
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Male,134067,134067
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Male,176883,176883
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",GEN,Male,1383,1542
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",GEN,Female,1092,1092
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",OBC,Male,3635,3812
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",SC,Male,11274,11274
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",SC,Female,9495,9495
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",GEN,Male,75316,79953
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",GEN,Female,89450,101563
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",EWS,Male,82350,84793
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",EWS,Female,129425,129425
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",OBC,Male,84080,88635
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",OBC,Female,134193,135102
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",SC,Male,164142,173571
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",SC,Female,253985,253985
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",ST,Male,271563,271563
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",GEN,Male,69128,76276
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",GEN,Female,80416,80416
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",EWS,Male,78096,81003
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",OBC,Male,77983,83926
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",OBC,Female,117331,122507
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",SC,Male,164906,166570
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",SC,Female,177672,177672
National Institute of Technology Raipur,"Bio Technology (4 Years, Bachelor of Technology)",ST,Male,228191,247782
National Institute of Technology Raipur,"Chemical Engineering (4 Years, Bachelor of Technology)",GEN,Male,52557,54767
National Institute of Technology Raipur,"Chemical Engineering (4 Years, Bachelor of Technology)",GEN,Female,62283,62283
National Institute of Technology Raipur,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Male,57563,58886
National Institute of Technology Raipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC,Male,56673,67374
National Institute of Technology Raipur,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Male,135050,135471
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,57148,59578
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Female,79876,79876
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Male,63611,67362
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female,86985,86985
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,60338,68055
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,98737,98737
National Institute of Technology Raipur,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,137897,137897
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Male,11707,11707
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Male,15436,15436
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Male,16661,16661
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,52392,52392
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Male,68783,68783
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female,159859,159859
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",GEN,Male,32010,32029
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",GEN,Female,37556,37556
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Male,34032,34225
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female,59844,59844
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC,Male,40067,41414
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC,Female,55903,55903
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Male,109142,109142
National Institute of Technology Raipur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Male,147641,147641
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Male,20354,20767
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GEN,Female,26915,27744
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Male,21792,22289
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female,37843,37843
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,25855,26971
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Female,42157,42157
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Male,82541,82541
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",GEN,Male,14903,14903
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",EWS,Female,34925,34925
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",SC,Male,60026,60026
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Male,44159,45404
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",GEN,Female,61187,62958
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Male,49606,52010
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Male,53096,55803
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC,Female,74452,74452
National Institute of Technology Raipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Male,124519,125020
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",GEN,Male,62104,66629
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",GEN,Female,84830,84830
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Male,68617,72214
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Female,94229,94229
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC,Male,68821,74179
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC,Female,104961,116356
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Male,153087,156796
National Institute of Technology Raipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female,211106,211106
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",GEN,Male,67775,73714
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",GEN,Female,98997,101946
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",EWS,Male,74665,78671
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",EWS,Female,109418,109418
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",OBC,Male,74384,80633
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",OBC,Female,122933,129979
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",SC,Male,156071,160779
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",SC,Female,246473,246473
National Institute of Technology Raipur,"Mining Engineering (4 Years, Bachelor of Technology)",ST,Male,223264,223264
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,80620,80744
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,157159,164648
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",GEN,Male,73220,76258
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Male,82665,85030
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",OBC,Female,132951,132951
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Male,164746,164746
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Male,207602,207602
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,73679,73679
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Male,25908,25908
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GEN,Female,48422,48422
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC,Female,62399,62399
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Male,109064,109064
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Male,148169,148169
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Female,196470,196470
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Male,57197,60019
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GEN,Female,77496,77496
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Male,61042,62293
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OBC,Female,87498,87498
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",SC,Male,149939,150188
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Male,49781,50446
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC,Female,79369,79369
